Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,Lamia Benhida,5,"Très beau musée, bien agencé avec une exposition détaillée sur la monnaie, une exposition permanente de tableaux d’artistes marocains et une exposition temporaire. Gratuit le vendredi pour les marocains  et les résidents",il y a 6 ans,2,https://www.google.com/maps/contrib/117715487711902470716/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,Samir El,5,"J'ai visité hier ce musée. Je le recommande vivement aux enfants accompagnés d'un encadrant (parent, instituteur ou autre....), aux lycéens, aux étudiants, aux touristes locaux et étrangers qui s'intéressent à l'histoire de la monnaie , aux …",il y a 4 ans,1,https://www.google.com/maps/contrib/110096805961555867114/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,ilus,5,Magnifique édifice transformé en musée,il y a un an,1,https://www.google.com/maps/contrib/114952141771922616094/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,Ahmed Badaoui.,4,"Situé au centre ville en face du parlement, belle architecture",il y a un mois,0,https://www.google.com/maps/contrib/109230426102885529425/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,Nabil Nab's,4,"Un incontournable dans une visite à Rabat, ce lieux est fascinant et tellement riche par ses collections unique, je n'y suis resté que 2 heures et c'est bien peu pour apprécier le lieu, il faudrait plusieurs heures pour l'apprécier en …",il y a 3 ans,4,https://www.google.com/maps/contrib/104267398544360089031/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,MINEJOKI,5,Magnifique musée située au sein de bank al Maghrib sur deux niveaux collection impressionnante de l'histoire de la monnaie marocaine et de l'argent de l'époque un vrai patrimoine à voir en famille,il y a 6 ans,1,https://www.google.com/maps/contrib/116975070860917630509/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,Abdelilah El-Habchi,5,"Immanquable et insolite. Très intéressant pour les passionnés.
Lieu chargé d'histoire, cela reste toujours un moment agréable a faire découvrir ou à revivre.",il y a 4 ans,7,https://www.google.com/maps/contrib/101763477015451059413/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,yasmine duchanoy,5,Très intéressant comme endroit les enfants ont adoré et ils ont eu beaucoup d'informations sur la monnaie sur les tableaux et sur la ville de Armat.,il y a 3 ans,1,https://www.google.com/maps/contrib/114100504114449105508/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,hicham sakout,5,Très beau musée exposant l'histoire de la monnaie ainsi qu'une très belle exposition de tableaux,il y a 7 ans,2,https://www.google.com/maps/contrib/106343131503036464232/reviews?hl=fr,,NAN
Bank Al-Maghrib,Not available,"277 Av. Mohammed V, Rabat 10000",bkam.ma,Alexandre Myrand,5,"Très beau musée avec de très belles oeuvres! Vaut la peine, en plus d’être pas cher!",il y a 5 ans,0,https://www.google.com/maps/contrib/117718620255062984048/reviews?hl=fr,,NAN
