Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,maryam sh,1,"Je recommande pas cette banque ni cette agence, service très mal et lent, personnels impoli, pas de continuité de service, il me fallait attendre 40min pour effectuer un versement 😏 …",il y a un an,2,https://www.google.com/maps/contrib/108447393772943961161/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,كوورة kooora,5,Je ne recommande pas de traiter avec cette banque car elle ne se soucie pas des clients,il y a 2 ans,3,https://www.google.com/maps/contrib/101626545202430465716/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,Yahya Chok,3,C'est bon je pense,il y a 7 ans,0,https://www.google.com/maps/contrib/107087572657704835978/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,ayoub hdidou,3,Assez bien,il y a 5 ans,0,https://www.google.com/maps/contrib/116857985789740363287/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,Bachir Benhadjoudja,4,Banque marocaine,il y a 7 ans,0,https://www.google.com/maps/contrib/102677307267603590016/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,Koje Hussain,5,NAN,il y a 3 ans,0,https://www.google.com/maps/contrib/115598376689932262096/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,Jamal tètuani,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/109585606847862155007/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,mohssin EL Arroud (“BRB”),3,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/104760813125977117143/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,Hassan Nassar,5,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/110688271815680425131/reviews?hl=fr,,NAN
Crédit du Maroc,Not available,"HJCG+8MG, Av. Youssef Ibn Tachfine, Tétouan",Not available,Moulay Hicham,3,NAN,il y a 8 ans,0,https://www.google.com/maps/contrib/113220156311142280323/reviews?hl=fr,,NAN
